N,2,4,8,24
1024,15.6332,30.5662,58.1487,83.1712,121.145,146.794,
2048,10.4757,16.6985,30.6092,58.5064,81.5063,98.8831,
4096,6.98572,10.712,22.7189,33.4629,39.9058,43.5179,
8192,6.48759,9.92114,20.5428,30.9233,36.3458,39.8531,
16384,6.47351,10.1803,20.5343,30.7281,35.1928,38.7398,
